Date,Close,High,Low,Open,Volume,Price_Up
2020-01-02,72.3338623046875,72.39407027941263,71.09116882440814,71.34403937841115,135480400,0
2020-01-03,71.63064575195312,72.38926493117573,71.40667380039741,71.56321309934685,146322800,1
2020-01-06,72.201416015625,72.23995000976231,70.50355369984423,70.75402098693286,118387200,0
2020-01-07,71.86185455322266,72.46633779595872,71.6426965801033,72.21105649751387,108872000,1
2020-01-08,73.01782989501953,73.31886979288494,71.56561372170107,71.56561372170107,132079200,1
2020-01-09,74.56880187988281,74.76146451044018,73.74275001069596,73.99320996049889,170108400,1
2020-01-10,74.73737335205078,75.30092656417412,74.23644614635045,74.8024026801614,140644800,1
2020-01-13,76.3341064453125,76.36060178633993,74.93487315391599,75.05288582822318,121532000,0
2020-01-14,75.30333709716797,76.48100893453174,75.18051779267843,76.27148630079421,161954400,0
2020-01-15,74.98062133789062,75.98248317068368,74.54953007278792,75.10344798902688,121923600,1
2020-01-16,75.91986846923828,76.03065646802948,75.16124922768141,75.52249718552835,108829200,1
2020-01-17,76.76036071777344,76.7627640392473,75.86205500785368,76.16790890123319,137816400,0
2020-01-21,76.24014282226562,76.83017646283267,76.10286689971221,76.38945739784091,110843200,1
2020-01-22,76.51231384277344,77.06381371935198,76.41838585398544,76.72423978617735,101832400,1
2020-01-23,76.88076782226562,76.96023911310208,76.01858552983758,76.56527863051073,104472000,0
2020-01-24,76.6592025756836,77.8681760847734,76.46894331412666,77.12641705620177,146537600,0
2020-01-27,74.40503692626953,75.08417746726008,73.42484908589569,74.67235687385795,161940000,1
2020-01-28,76.50990295410156,76.68089158109271,75.18532722614749,75.28406920782065,162234000,1
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200,0
2020-01-30,77.99824523925781,78.05122856412287,76.76518678742532,77.19627805111793,126743200,0
2020-01-31,74.5399169921875,77.71167041513803,74.24610164905711,77.29021440201876,199588400,0
2020-02-03,74.33518981933594,75.4984048922783,72.78423148900761,73.28515870612867,173788400,1
2020-02-04,76.78926086425781,76.9795201431656,75.53211792000401,75.93671379066781,136616400,1
2020-02-05,77.41542053222656,78.21257356762338,76.81334075627086,77.91393700101683,118826800,1
2020-02-06,78.3209457397461,78.32335641079244,77.12883215929374,77.68515330009288,105425600,0
2020-02-07,77.25635528564453,78.06988383321008,76.76630651671353,77.82123854389138,117684000,1
